sentence1,sentence2,label
i has profession builder unfortunately i live on land i am a boat builder a carpenter ,i build houses ,0
i like activity reading i like reading ,i am a full time babysitter ,0
i has profession chef i am a chef ,i work in a program that mentors troubled teens ,1
i favorite drink iced tea my favourite drink is iced tea ,okay what are you good at cooking ,0
i like activity hunting because i have a ford truck i go to mass every sunday and enjoy hunting lol ,i have a 3006 a winchester long and a shot gun i chase deer whenever i can ,0
i other am jewish i am of the jewish faith ,cool do you like to watch movies ,0
i like general faciiak hair i love having facial hair ,just hanging in there my left leg hurts ,0
i have pet 1 cat i have a pet cat named arizona ,biographies are my kind of reading materials especially of famous people ,0
i has profession writer eating is also important i like writing diet cookbooks ,i work at a barber shop ,1
i has profession teacher i am a kindergarten teacher ,i am a writer ,1
i attend school mit i graduated from mit with a degree in engineering ,yeah i am homeschooled so i made my own friend his name is sparky ,1
i has profession equestrian i am an equestrian ,i work as a secretary how about you ,1
i have pet 2 horse i have two horses ,i have 3 horses ,1
i have sibling sibling my family includes several siblings ,my sibling and i get along ,0
i school status student i am currently attending school ,how nice i am too short to play basketball ,0
i want job nurse i cannot wait to get my first full time job as a nurse ,oh wow that is amazing i cannot wait to get a full time nursing job ,0
i favorite activity poker poker is my favorite card game ,freelance work for now practicing jujitsu to maybe teach one day ,0
i has hobby vintage cars i restore classic cars ,you should enjoy being young what do you want to do when you finish school ,0
i have love i love cooking with fresh vegetables ,i have found the love of my life ,0
i school status graduated i graduated from college last year ,i am in law school ,1
i marital status married i am a married mother of a kids ,you could always put your time into something else my husband has his own business ,0
i marital status married i am married with a kids ,congratulations as a single lady i drink more than i should on blind dates ,1
i marital status married i am married with a kids ,i have a husband who i love very much ,0
my mother has profession healthcare me too my mother is in healthcare so she does not wnt to cook on the weekends ,my mother works in healthcare ,0
i have chidren 1 child i have one child ,sure my name is dan and i just had my first child ,0
i school status student same here though i am coming from class law school student ,i just graduated from college two years ago ,1
i marital status married we adopted because my wife was afraid of that but i love my 2 kids ,i am engaged to be married ,1
i has profession truck driver i drive a big truck as my job what about you ,i work in an office as a secretary ,1
i has profession managerial consultant i work as a managerial consultant ,i work long hours as a handyman and do not have the time to read ,1
i have pet 9 cat i have just nine cat ,i have just 1 cat ,1
i job status 2 employed i have two part time jobs so no time for dogs ,i have 9 part time jobs so no time for dogs ,1
i favorite music jazz my favorite music is jazz ,my favourite composer is bach ,1
i has profession stock broker neat i follow the stock market carefully since becoming a stock broker ,i work as a managerial consultant ,1
i employed by general grocery store a little bit yeah also i do own a grocery store ,i work in fast food ,1
i have 2 children that are in their kindergarten you have a tail i have two kids in kindergarten ,you have a tail i have seven kids in kindergarten ,1
my generation have chidren lots of children my generation had lots of children ,i have a dog named pedro ,0
my favorite food pizza chicken is healthier than pizza i love to cook ,my favorite food is pizza ,0
i has hobby reading i spend my free time reading plays ,i gave them a name based on the characteristics ,0
i has profession musician i am a musician in training ,i work in an office as a secretary ,1
i has profession real estate agent i am a real estate agent ,no but i work in advertising ,1
i have chidren 2 son i am a single mom of two boys ,i am a single mom of ten boys ,1
i has profession real estate agent i am a real estate agent ,i am a pediatrician ,1
i like activity cooking i love cooking and i am pretty good at it too that explains the extra pounds ,trying new recipes makes me happy ,0
i like goto church happy monday we went to church yesterday ,i go to church every sunday ,0
i live in citystatecountry chicago my apartment is in chicago ,i share an apartment in seattle with two roommates ,1
i school status graduated i graduated a few years ago ,i graduated from college last year ,0
i want do save people i want to save people ,hi i was a geology teacher awhile ago please tell me something interesting about you ,0
i have allergy to dogs i am allergic to dogs ,my generation had lots of children ,0
i school status student i am just a student now hopefully she will stay with me till i am a lawyer ,i am in law school ,0
i attend school homeschool it truly is we do a lot of things like that in my homeschool group ,i go to middle school ,1
i has profession nurse i work as a registered nurse at a pediatric hospital ,i have retrievers they are my companions i am an attorney ,1
i have vehicle vehicle i travel using a large vehicle ,very well thank you waiting to go do a little hunting in a few ,0
